UniqueCount	AmbigCount
0	0
14	0
2	39
3	2
0	39
0	0
1	8
0	0
0	11
0	0
3	3
6	3
2	0
0	0
1	72
28	3
4	72
0	63
0	51
0	9
0	5
4	69
0	5
0	48
6	43
1	8
0	53
0	0
2	0
0	0
1	16
0	16
0	0
2	0
0	0
5	0
0	8
0	8
0	2
0	0
1	2
0	8
0	0
0	0
1	0
0	0
0	0
12	236
0	2
2	118
0	166
0	252
7	18
1	6
18	24
0	0
1	5
0	6
0	6
0	0
5	0
0	8
31	49
0	34
1	0
0	49
0	27
0	32
0	8
6	67
9	67
6	0
0	0
0	52
0	51
18	42
0	0
5	0
1	15
24	15
0	0
0	0
1	0
0	0
26	6
0	0
1	0
8	0
0	0
1	6
0	0
102	232
3	232
0	232
185	49
3	49
1	30
0	53
7	176
96	161
0	37
15	49
0	37
6	49
0	27
0	63
21	63
0	0
0	0
0	129
1	19
12	56
0	0
0	136
40	759
13	760
23	0
0	6
0	6
0	0
0	6
0	0
0	0
2	0
1	2
66	89
0	89
0	0
0	116
0	116
0	21
43	94
27	94
0	5
4	14
2	96
0	69
0	51
0	137
1	8
0	14
0	122
1	149
0	197
0	70
0	88
0	212
9	35
0	78
5	0
0	0
6	3
0	9
0	13
3	1
1	1
0	1
6	8
0	0
0	8
9	4
0	0
0	4
1	2
1	2
0	11
0	10
0	1
0	0
0	0
0	0
0	0
2	0
19	0
51	136
0	51
22	181
0	48
12	30
0	50
0	34
0	1
122	155
0	0
11	0
0	0
0	1
0	1
1	0
3	67
7	0
0	0
57	67
0	0
39	2
0	25
0	12
0	23
0	25
0	27
0	37
0	25
0	15
0	0
0	0
4	8
0	0
0	8
0	0
8	3
0	3
0	9
0	21
0	28
0	0
0	17
0	17
0	0
0	0
5	0
0	43
0	28
7	28
2	1
41	0
5	0
51	0
1	0
0	7
3	7
0	1
0	10
0	10
0	0
21	11
0	24
0	52
2	15
0	34
0	22
1	27
0	3
0	28
15	6
0	14
0	4
0	1
0	8
6	17
0	3
0	3
0	10
15	0
0	0
0	2
0	0
0	20
15	2
0	20
0	0
0	1
0	17
8	3
10	12
0	2
0	9
1	0
0	48
0	48
0	42
0	43
6	46
8	46
0	0
0	0
0	0
6	0
0	8
0	1
0	9
0	0
0	1
0	0
5	36
0	50
0	87
0	38
2	0
5	57
0	108
28	0
2	118
4	158
0	158
0	138
2	0
0	2
0	2
5	7
1	0
0	26
0	1
0	6
0	25
0	1
0	1
0	1
0	1
0	20
1	19
63	19
66	81
0	200
12	11
3	99
34	158
0	185
82	123
0	0
16	0
7	23
27	16
12	109
0	17
3	122
0	0
0	0
9	16
1	15
12	3
0	0
3	3
0	0
0	0
21	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
4	0
4	2
0	0
0	0
3	0
0	1
1	0
0	0
4	0
3	3
0	0
0	0
0	0
0	0
0	0
1	6
0	12
5	6
0	6
0	1568
24	1421
0	2
8	462
0	815
2	12
0	2
0	14
0	10
2	18
0	10
0	2
0	0
10	116
4	88
0	103
0	0
0	13
0	0
0	175
0	1
5	19
7	435
0	435
0	419
0	0
2204	1228
0	1228
6	19
5	19
0	0
0	12
0	7
4	12
0	5
0	4
0	0
0	0
9	4
4	27
0	12
0	27
0	7
0	130
5	144
0	144
7	1
2	1
0	0
41	0
1	0
5	32
