PGA_scaffold0__40_contigs__length_4818635	2795105	2795107	25.772110080620713	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	2794235	2796234	.	-	.	ID=M_mag.00g001500-v1.0.a1;Name=M_mag.00g001500;
PGA_scaffold0__40_contigs__length_4818635	2795105	2795107	25.772110080620713	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	2795080	2797079	.	-	.	ID=M_mag.00g001510-v1.0.a1;Name=M_mag.00g001510;
PGA_scaffold0__40_contigs__length_4818635	3416872	3416874	32.36635458500152	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	3415973	3417972	.	-	.	ID=M_mag.00g002050-v1.0.a1;Name=M_mag.00g002050;
PGA_scaffold0__40_contigs__length_4818635	3417019	3417021	25.263157894736842	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	3415973	3417972	.	-	.	ID=M_mag.00g002050-v1.0.a1;Name=M_mag.00g002050;
PGA_scaffold0__40_contigs__length_4818635	4154867	4154869	27.497613365155125	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	4154035	4156034	.	-	.	ID=M_mag.00g002400-v1.0.a1;Name=M_mag.00g002400;
PGA_scaffold0__40_contigs__length_4818635	4644463	4644465	-35.526480530862656	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	4644182	4646181	.	-	.	ID=M_mag.00g002560-v1.0.a1;Name=M_mag.00g002560;
PGA_scaffold0__40_contigs__length_4818635	4771477	4771479	29.876151159098125	PGA_scaffold0__40_contigs__length_4818635	GenSAS_6448195bde6ca-publish	gene	4770333	4772332	.	+	.	ID=M_mag.00g002670-v1.0.a1;Name=M_mag.00g002670;
PGA_scaffold10__58_contigs__length_8083807	1130295	1130297	-28.83533854806085	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	1130225	1132224	.	+	.	ID=M_mag.00g099100-v1.0.a1;Name=M_mag.00g099100;
PGA_scaffold10__58_contigs__length_8083807	4115709	4115711	33.51567454924346	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	4115709	4117708	.	+	.	ID=M_mag.00g101070-v1.0.a1;Name=M_mag.00g101070;
PGA_scaffold10__58_contigs__length_8083807	4590129	4590131	26.366130020365695	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	4588148	4590147	.	+	.	ID=M_mag.00g101280-v1.0.a1;Name=M_mag.00g101280;
PGA_scaffold10__58_contigs__length_8083807	7072994	7072996	35.21541950113378	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	7071252	7073251	.	-	.	ID=M_mag.00g102870-v1.0.a1;Name=M_mag.00g102870;
PGA_scaffold10__58_contigs__length_8083807	7073003	7073005	41.10931461471725	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	7071252	7073251	.	-	.	ID=M_mag.00g102870-v1.0.a1;Name=M_mag.00g102870;
PGA_scaffold10__58_contigs__length_8083807	7202151	7202153	28.166517151522918	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	7201129	7203128	.	+	.	ID=M_mag.00g102960-v1.0.a1;Name=M_mag.00g102960;
PGA_scaffold10__58_contigs__length_8083807	7202233	7202235	43.452335154266365	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	7201129	7203128	.	+	.	ID=M_mag.00g102960-v1.0.a1;Name=M_mag.00g102960;
PGA_scaffold10__58_contigs__length_8083807	7202245	7202247	32.806525054707016	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	7201129	7203128	.	+	.	ID=M_mag.00g102960-v1.0.a1;Name=M_mag.00g102960;
PGA_scaffold10__58_contigs__length_8083807	7628441	7628443	36.57449795519746	PGA_scaffold10__58_contigs__length_8083807	GenSAS_6448195bde6ca-publish	gene	7628385	7630384	.	-	.	ID=M_mag.00g103280-v1.0.a1;Name=M_mag.00g103280;
PGA_scaffold11__78_contigs__length_11409253	2265835	2265837	25.895877054441343	PGA_scaffold11__78_contigs__length_11409253	GenSAS_6448195bde6ca-publish	gene	2263945	2265944	.	+	.	ID=M_mag.00g104930-v1.0.a1;Name=M_mag.00g104930;
PGA_scaffold11__78_contigs__length_11409253	4419189	4419191	29.0863946392246	PGA_scaffold11__78_contigs__length_11409253	GenSAS_6448195bde6ca-publish	gene	4418399	4420398	.	+	.	ID=M_mag.00g106590-v1.0.a1;Name=M_mag.00g106590;
PGA_scaffold11__78_contigs__length_11409253	5781501	5781503	33.728158091882804	PGA_scaffold11__78_contigs__length_11409253	GenSAS_6448195bde6ca-publish	gene	5781036	5783035	.	-	.	ID=M_mag.00g107500-v1.0.a1;Name=M_mag.00g107500;
PGA_scaffold11__78_contigs__length_11409253	6972367	6972369	35.63015931436984	PGA_scaffold11__78_contigs__length_11409253	GenSAS_6448195bde6ca-publish	gene	6970638	6972637	.	-	.	ID=M_mag.00g108210-v1.0.a1;Name=M_mag.00g108210;
PGA_scaffold11__78_contigs__length_11409253	10112852	10112854	-30.24753160090131	PGA_scaffold11__78_contigs__length_11409253	GenSAS_6448195bde6ca-publish	gene	10110878	10112877	.	+	.	ID=M_mag.00g110260-v1.0.a1;Name=M_mag.00g110260;
PGA_scaffold11__78_contigs__length_11409253	10112852	10112854	-30.24753160090131	PGA_scaffold11__78_contigs__length_11409253	GenSAS_6448195bde6ca-publish	gene	10112646	10114645	.	+	.	ID=M_mag.00g110270-v1.0.a1;Name=M_mag.00g110270;
PGA_scaffold12__214_contigs__length_38711105	5765039	5765041	25.725984949092517	PGA_scaffold12__214_contigs__length_38711105	GenSAS_6448195bde6ca-publish	gene	5763728	5765727	.	+	.	ID=M_mag.00g114500-v1.0.a1;Name=M_mag.00g114500;
PGA_scaffold12__214_contigs__length_38711105	12691312	12691314	31.762232122282818	PGA_scaffold12__214_contigs__length_38711105	GenSAS_6448195bde6ca-publish	gene	12689444	12691443	.	+	.	ID=M_mag.00g119780-v1.0.a1;Name=M_mag.00g119780;
PGA_scaffold12__214_contigs__length_38711105	13761697	13761699	-29.9393672834658	PGA_scaffold12__214_contigs__length_38711105	GenSAS_6448195bde6ca-publish	gene	13760605	13762604	.	-	.	ID=M_mag.00g120800-v1.0.a1;Name=M_mag.00g120800;
PGA_scaffold12__214_contigs__length_38711105	18543119	18543121	-25.720038964248847	PGA_scaffold12__214_contigs__length_38711105	GenSAS_6448195bde6ca-publish	gene	18541817	18543816	.	+	.	ID=M_mag.00g124250-v1.0.a1;Name=M_mag.00g124250;
PGA_scaffold12__214_contigs__length_38711105	34041419	34041421	27.185689090450992	PGA_scaffold12__214_contigs__length_38711105	GenSAS_6448195bde6ca-publish	gene	34041330	34043329	.	-	.	ID=M_mag.00g134500-v1.0.a1;Name=M_mag.00g134500;
PGA_scaffold13__56_contigs__length_10281103	4779500	4779502	33.08082780163999	PGA_scaffold13__56_contigs__length_10281103	GenSAS_6448195bde6ca-publish	gene	4778334	4780333	.	+	.	ID=M_mag.00g139480-v1.0.a1;Name=M_mag.00g139480;
PGA_scaffold13__56_contigs__length_10281103	6861933	6861935	27.945595753814935	PGA_scaffold13__56_contigs__length_10281103	GenSAS_6448195bde6ca-publish	gene	6860302	6862301	.	-	.	ID=M_mag.00g140930-v1.0.a1;Name=M_mag.00g140930;
PGA_scaffold13__56_contigs__length_10281103	8243901	8243903	25.12456097361757	PGA_scaffold13__56_contigs__length_10281103	GenSAS_6448195bde6ca-publish	gene	8243877	8245876	.	+	.	ID=M_mag.00g141710-v1.0.a1;Name=M_mag.00g141710;
PGA_scaffold14__49_contigs__length_6382615	467466	467468	-33.270312197013766	PGA_scaffold14__49_contigs__length_6382615	GenSAS_6448195bde6ca-publish	gene	465663	467662	.	-	.	ID=M_mag.00g143890-v1.0.a1;Name=M_mag.00g143890;
