From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Ontology (biological process)	Gene Ontology IDs	Keywords	Gene Ontology (cellular component)	Gene Ontology (molecular function)
Q9VW71	Q9VW71	reviewed	FAT2_DROME	Fat-like cadherin-related tumor suppressor homolog (Protein kugelei)	kug fat2 CG7749	Drosophila melanogaster (Fruit fly)	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; centripetally migrating follicle cell migration [GO:0060269]; defense response to Gram-negative bacterium [GO:0050829]; establishment of planar polarity of follicular epithelium [GO:0042247]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; foregut morphogenesis [GO:0007440]; growth of a germarium-derived egg chamber [GO:0007295]; hindgut morphogenesis [GO:0007442]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; oogenesis [GO:0048477]; open tracheal system development [GO:0007424]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of innate immune response [GO:0045089]; protein localization to cell leading edge [GO:1902463]; salivary gland development [GO:0007431]	GO:0005509; GO:0005886; GO:0005925; GO:0007156; GO:0007295; GO:0007424; GO:0007431; GO:0007440; GO:0007442; GO:0009925; GO:0016339; GO:0030950; GO:0031254; GO:0042247; GO:0044331; GO:0044877; GO:0045089; GO:0048477; GO:0050829; GO:0050839; GO:0051491; GO:0060269; GO:0098609; GO:0098858; GO:1902463	Alternative splicing;Calcium;Cell adhesion;Cell membrane;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	actin-based cell projection [GO:0098858]; basal plasma membrane [GO:0009925]; cell trailing edge [GO:0031254]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; protein-containing complex binding [GO:0044877]
P60882	P60882	reviewed	MEGF8_MOUSE	Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)	Megf8 Egfl4	Mus musculus (Mouse)	BMP signaling pathway [GO:0030509]; cell migration involved in gastrulation [GO:0042074]; coronary vasculature development [GO:0060976]; craniofacial suture morphogenesis [GO:0097094]; determination of digestive tract left/right asymmetry [GO:0071907]; determination of heart left/right asymmetry [GO:0061371]; determination of left/right symmetry [GO:0007368]; embryonic heart tube left/right pattern formation [GO:0060971]; embryonic heart tube morphogenesis [GO:0003143]; embryonic limb morphogenesis [GO:0030326]; embryonic skeletal system morphogenesis [GO:0048704]; epiboly involved in gastrulation with mouth forming second [GO:0055113]; fasciculation of sensory neuron axon [GO:0097155]; left/right pattern formation [GO:0060972]; limb morphogenesis [GO:0035108]; negative regulation of smoothened signaling pathway [GO:0045879]; positive regulation of axon extension involved in axon guidance [GO:0048842]; regulation of gene expression [GO:0010468]	GO:0003143; GO:0005509; GO:0005634; GO:0007368; GO:0010468; GO:0016020; GO:0030326; GO:0030509; GO:0035108; GO:0042074; GO:0045879; GO:0048704; GO:0048842; GO:0055113; GO:0060971; GO:0060972; GO:0060976; GO:0061371; GO:0071907; GO:0097094; GO:0097155	Calcium;Disulfide bond;EGF-like domain;Glycoprotein;Kelch repeat;Laminin EGF-like domain;Membrane;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	membrane [GO:0016020]; nucleus [GO:0005634]	calcium ion binding [GO:0005509]
Q9NRC6	Q9NRC6	reviewed	SPTN5_HUMAN	Spectrin beta chain, non-erythrocytic 5 (Beta-V spectrin)	SPTBN5 BSPECV HUBSPECV HUSPECV	Homo sapiens (Human)	actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; Golgi organization [GO:0007030]; lysosomal transport [GO:0007041]	GO:0002046; GO:0003779; GO:0005737; GO:0005829; GO:0005875; GO:0005886; GO:0007030; GO:0007041; GO:0008091; GO:0016020; GO:0019894; GO:0030036; GO:0030054; GO:0030507; GO:0030864; GO:0032029; GO:0032391; GO:0034452; GO:0042802; GO:0042995; GO:0043621; GO:0045179; GO:0045505; GO:0051015; GO:0051693; GO:0097381	Actin capping;Actin-binding;Cytoplasm;Cytoskeleton;Reference proteome;Repeat	apical cortex [GO:0045179]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; microtubule associated complex [GO:0005875]; photoreceptor connecting cilium [GO:0032391]; photoreceptor disc membrane [GO:0097381]; plasma membrane [GO:0005886]; spectrin [GO:0008091]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; dynactin binding [GO:0034452]; dynein intermediate chain binding [GO:0045505]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; myosin tail binding [GO:0032029]; opsin binding [GO:0002046]; protein self-association [GO:0043621]; spectrin binding [GO:0030507]
O70472	O70472	reviewed	TM131_MOUSE	Transmembrane protein 131 (Protein RW1)	Tmem131 D1Bwg0491e Kiaa0257 Rw1	Mus musculus (Mouse)		GO:0016020	Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix	membrane [GO:0016020]	
Q8VIJ5	Q8VIJ5	reviewed	OGA_RAT	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Bifunctional protein NCOAT) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase)	Oga Hexc Mea5 Mgea5	Rattus norvegicus (Rat)	dATP metabolic process [GO:0046060]; glycoprotein metabolic process [GO:0009100]; N-acetylglucosamine metabolic process [GO:0006044]; negative regulation of cardiac muscle adaptation [GO:0010616]; negative regulation of protein glycosylation [GO:0060051]; positive regulation of apoptotic process [GO:0043065]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cell killing [GO:0031343]; positive regulation of DNA metabolic process [GO:0051054]; positive regulation of glucose import [GO:0046326]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of insulin secretion [GO:0032024]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of protein-containing complex disassembly [GO:0043243]; positive regulation of proteolysis [GO:0045862]; protein targeting to membrane [GO:0006612]; response to steroid hormone [GO:0048545]	GO:0004402; GO:0005634; GO:0005829; GO:0006044; GO:0006612; GO:0009100; GO:0010524; GO:0010616; GO:0016231; GO:0031343; GO:0032024; GO:0042802; GO:0043065; GO:0043243; GO:0045862; GO:0046060; GO:0046326; GO:0048545; GO:0051054; GO:0051901; GO:0051928; GO:0060051; GO:0060124; GO:0102166; GO:0102167; GO:0102571	Alternative splicing;Cytoplasm;Glycosidase;Hydrolase;Nucleus;Phosphoprotein;Reference proteome	cytosol [GO:0005829]; nucleus [GO:0005634]	[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102167]; [protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102571]; [protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102166]; beta-N-acetylglucosaminidase activity [GO:0016231]; histone acetyltransferase activity [GO:0004402]; identical protein binding [GO:0042802]
Q7Z7G8	Q7Z7G8	reviewed	VP13B_HUMAN	Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1) (Vacuolar protein sorting-associated protein 13B)	VPS13B CHS1 COH1 KIAA0532	Homo sapiens (Human)	acrosome assembly [GO:0001675]; adipose tissue development [GO:0060612]; central nervous system development [GO:0007417]; Golgi organization [GO:0007030]; Golgi reassembly [GO:0090168]; lipid transport [GO:0006869]; maintenance of lens transparency [GO:0036438]; nervous system development [GO:0007399]; neuron projection development [GO:0031175]; slow endocytic recycling [GO:0032458]; vesicle-mediated transport [GO:0016192]	GO:0000139; GO:0001675; GO:0002080; GO:0005765; GO:0006869; GO:0007030; GO:0007399; GO:0007417; GO:0016192; GO:0031175; GO:0031901; GO:0032266; GO:0032458; GO:0032588; GO:0033106; GO:0033116; GO:0036438; GO:0055038; GO:0060612; GO:0090168	Alternative splicing;Cytoplasmic vesicle;Disease variant;Endosome;Golgi apparatus;Lipid transport;Lipid-binding;Lysosome;Membrane;Obesity;Phosphoprotein;Reference proteome;Transport	acrosomal membrane [GO:0002080]; cis-Golgi network membrane [GO:0033106]; early endosome membrane [GO:0031901]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; recycling endosome membrane [GO:0055038]; trans-Golgi network membrane [GO:0032588]	phosphatidylinositol-3-phosphate binding [GO:0032266]
O11780	O11780	reviewed	BGH3_PIG	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)	TGFBI	Sus scrofa (Pig)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005615; GO:0007155; GO:0030198; GO:0031012; GO:0050839	Cell adhesion;Direct protein sequencing;Disulfide bond;Extracellular matrix;Gamma-carboxyglutamic acid;Phosphoprotein;Reference proteome;Repeat;Secreted;Signal	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]	cell adhesion molecule binding [GO:0050839]
Q9UIF8	Q9UIF8	reviewed	BAZ2B_HUMAN	Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)	BAZ2B KIAA1476	Homo sapiens (Human)	chromatin remodeling [GO:0006338]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003677; GO:0005634; GO:0006338; GO:0006357; GO:0046872	3D-structure;Acetylation;Alternative splicing;Bromodomain;Coiled coil;DNA-binding;Isopeptide bond;Metal-binding;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Ubl conjugation;Zinc;Zinc-finger	nucleus [GO:0005634]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q7PHR1	Q7PHR1	reviewed	KIF1A_ANOGA	Kinesin-like protein unc-104	unc-104 AGAP010519	Anopheles gambiae (African malaria mosquito)	cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; synaptic vesicle transport [GO:0048489]; vesicle transport along microtubule [GO:0047496]; vesicle-mediated transport [GO:0016192]	GO:0005524; GO:0005737; GO:0005871; GO:0005874; GO:0005875; GO:0007018; GO:0008017; GO:0008574; GO:0016192; GO:0016887; GO:0030705; GO:0047496; GO:0048489	ATP-binding;Coiled coil;Cytoplasm;Cytoskeleton;Microtubule;Motor protein;Nucleotide-binding;Reference proteome	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; plus-end-directed microtubule motor activity [GO:0008574]
Q8BYR2	Q8BYR2	reviewed	LATS1_MOUSE	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase)	Lats1 Warts	Mus musculus (Mouse)	cell division [GO:0051301]; cytoplasmic sequestering of protein [GO:0051220]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; hippo signaling [GO:0035329]; hormone-mediated signaling pathway [GO:0009755]; inner cell mass cell fate commitment [GO:0001827]; inner cell mass cellular morphogenesis [GO:0001828]; keratinocyte differentiation [GO:0030216]; mammary gland epithelial cell differentiation [GO:0060644]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of protein localization to nucleus [GO:1900181]; positive regulation of apoptotic process [GO:0043065]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; regulation of actin filament polymerization [GO:0030833]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of organ growth [GO:0046620]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; sister chromatid segregation [GO:0000819]	GO:0000082; GO:0000086; GO:0000287; GO:0000819; GO:0000922; GO:0001827; GO:0001828; GO:0004674; GO:0005524; GO:0005737; GO:0005813; GO:0006468; GO:0008104; GO:0009755; GO:0017015; GO:0019901; GO:0030216; GO:0030331; GO:0030496; GO:0030833; GO:0033138; GO:0033146; GO:0035329; GO:0043065; GO:0043254; GO:0045736; GO:0046620; GO:0051220; GO:0051301; GO:0060644; GO:0090090; GO:0106310; GO:1900181; GO:2000058	3D-structure;ATP-binding;Cell cycle;Cell division;Cytoplasm;Cytoskeleton;Kinase;Magnesium;Metal-binding;Mitosis;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Transferase;Tumor suppressor	centrosome [GO:0005813]; cytoplasm [GO:0005737]; midbody [GO:0030496]; spindle pole [GO:0000922]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nuclear estrogen receptor binding [GO:0030331]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
