NC_050675.1	contig_2968_pilon__unscaffolded	85.161	3511	384	79	35709	39160	264	3696	0.0	3751
NC_050675.1	contig_2968_pilon__unscaffolded	85.706	3267	356	74	35016	38235	495	3697	0.0	3553
NC_050675.1	contig_2968_pilon__unscaffolded	85.284	3085	316	68	36630	39658	259	3261	0.0	3335
NC_050675.1	contig_2968_pilon__unscaffolded	84.932	2336	259	57	35016	37313	1414	3694	0.0	2453
NC_050675.1	contig_2968_pilon__unscaffolded	85.367	2139	218	43	37559	39658	265	2347	0.0	2339
NC_050675.1	contig_2968_pilon__unscaffolded	84.632	1386	168	35	35016	36383	2336	3694	0.0	1423
NC_050675.1	contig_2968_pilon__unscaffolded	84.647	1205	120	29	38475	39658	265	1425	0.0	1268
NC_050675.1	contig_2968_pilon__unscaffolded	90.409	782	56	11	1	770	1239	2013	0.0	1040
NC_050675.1	contig_2968_pilon__unscaffolded	88.761	783	68	12	1	770	319	1094	0.0	980
NC_050675.1	contig_2968_pilon__unscaffolded	88.348	781	70	9	1	770	2159	2929	0.0	977
NC_050675.1	contig_2968_pilon__unscaffolded	90.096	626	52	7	1	623	3075	3693	0.0	828
NC_050675.1	contig_2968_pilon__unscaffolded	87.832	452	47	8	35016	35462	3250	3698	1.99e-149	539
NC_050675.1	contig_2968_pilon__unscaffolded	99.242	264	2	0	8152	8415	1	264	2.96e-128	468
NC_050675.1	contig_2968_pilon__unscaffolded	86.939	245	27	4	39417	39658	264	506	6.98e-73	285
NC_050675.1	contig_2968_pilon__unscaffolded	77.129	411	68	14	34625	35020	956	1355	2.97e-71	279
NC_050675.1	contig_2968_pilon__unscaffolded	76.773	409	70	12	34627	35020	1877	2275	2.97e-71	279
NC_050675.1	contig_2968_pilon__unscaffolded	76.773	409	70	12	34627	35020	2793	3191	2.97e-71	279
NC_050675.1	contig_2968_pilon__unscaffolded	84.699	183	23	4	34840	35020	256	435	1.18e-44	191
NC_050675.1	contig_2932_pilon__unscaffolded	84.969	1284	144	25	36771	38038	1257	7	0.0	1378
NC_050675.1	contig_2932_pilon__unscaffolded	83.551	1301	150	30	37692	38972	1257	1	0.0	1305
NC_050675.1	contig_2932_pilon__unscaffolded	83.180	1302	162	35	35840	37124	1262	1	0.0	1255
NC_050675.1	contig_2932_pilon__unscaffolded	83.923	1188	152	30	35016	36188	1164	1	0.0	1182
